date,temperature,humidite,pression,vent,precipitations,mois,annee,saison
2020-01-29,22.2,44.7,1012.6,23.5,0.0,1,2020,Saison sèche
2020-01-30,21.9,15.7,1015.3,25.8,0.0,1,2020,Saison sèche
2020-01-31,24.0,17.7,1015.8,15.0,0.0,1,2020,Saison sèche
2020-02-01,24.3,42.5,1010.6,19.2,0.0,2,2020,Saison sèche
2020-02-02,23.1,21.0,1009.5,22.3,0.0,2,2020,Saison sèche
2020-02-03,20.1,28.8,1010.8,29.7,0.0,2,2020,Saison sèche
2020-02-04,20.8,22.4,1014.2,15.8,0.0,2,2020,Saison sèche
2020-02-05,23.4,35.5,1009.4,22.9,0.0,2,2020,Saison sèche
2020-02-06,23.5,31.3,1010.1,15.4,0.0,2,2020,Saison sèche
2020-02-07,24.1,27.4,1013.1,23.7,0.0,2,2020,Saison sèche
2020-02-08,21.1,26.9,1013.2,18.4,0.0,2,2020,Saison sèche
2020-02-09,27.5,28.8,1010.2,25.3,0.0,2,2020,Saison sèche
2020-02-10,20.4,31.3,1014.9,17.9,0.0,2,2020,Saison sèche
2020-02-11,25.2,28.3,1014.2,31.5,0.0,2,2020,Saison sèche
2020-02-12,22.2,19.0,1010.8,17.9,0.0,2,2020,Saison sèche
2020-02-13,22.6,27.7,1013.2,26.1,0.0,2,2020,Saison sèche
2020-02-14,22.8,36.6,1012.1,35.6,0.0,2,2020,Saison sèche
2020-02-15,24.4,18.1,1010.5,24.4,0.0,2,2020,Saison sèche
2020-02-16,22.2,30.7,1013.5,21.6,0.0,2,2020,Saison sèche
2020-02-17,20.7,12.9,1011.7,26.3,0.0,2,2020,Saison sèche
2020-02-18,23.3,15.0,1012.9,23.9,0.0,2,2020,Saison sèche
2020-02-19,20.6,26.2,1012.7,16.3,0.0,2,2020,Saison sèche
2020-02-20,23.7,29.5,1014.8,27.3,0.0,2,2020,Saison sèche
2020-02-21,19.4,17.5,1013.6,24.6,0.0,2,2020,Saison sèche
2020-02-22,24.1,55.8,1013.7,27.7,0.0,2,2020,Saison sèche
2020-02-23,25.2,30.2,1012.0,25.8,0.0,2,2020,Saison sèche
2020-02-24,20.9,23.1,1011.6,22.4,0.0,2,2020,Saison sèche
2020-02-25,28.6,10.1,1014.0,13.9,0.0,2,2020,Saison sèche
2020-02-26,21.6,33.7,1012.7,16.6,0.0,2,2020,Saison sèche
2020-02-27,21.0,30.4,1011.1,23.1,0.0,2,2020,Saison sèche
2020-02-28,22.9,19.8,1016.9,25.2,0.0,2,2020,Saison sèche
2020-02-29,17.7,26.5,1011.3,26.3,0.0,2,2020,Saison sèche
2020-03-01,23.0,24.1,1012.5,22.3,0.0,3,2020,Saison sèche
2020-03-02,22.0,22.3,1010.6,14.7,0.0,3,2020,Saison sèche
2020-03-03,29.4,28.2,1009.0,22.6,0.0,3,2020,Saison sèche
2020-03-04,30.3,33.3,1008.5,15.6,0.0,3,2020,Saison sèche
2020-03-05,28.2,19.3,1012.4,21.9,0.0,3,2020,Saison sèche
2020-03-06,22.7,24.5,1005.0,12.9,0.0,3,2020,Saison sèche
2020-03-07,24.4,15.0,1014.8,10.8,0.0,3,2020,Saison sèche
2020-03-08,23.9,26.0,1014.4,10.8,0.0,3,2020,Saison sèche
2020-03-09,27.9,25.1,1009.5,20.3,0.0,3,2020,Saison sèche
2020-03-10,25.5,20.2,1011.6,16.1,0.0,3,2020,Saison sèche
2020-03-11,25.3,30.3,1014.7,11.8,0.0,3,2020,Saison sèche
2020-03-12,30.3,10.0,1011.2,20.9,0.0,3,2020,Saison sèche
2020-03-13,25.7,20.0,1011.1,15.5,0.0,3,2020,Saison sèche
2020-03-14,23.5,31.8,1012.2,14.5,0.0,3,2020,Saison sèche
2020-03-15,27.2,27.5,1013.1,21.1,0.0,3,2020,Saison sèche
2020-03-16,22.9,20.5,1013.0,21.1,0.0,3,2020,Saison sèche
2020-03-17,24.9,25.9,1014.1,15.0,0.0,3,2020,Saison sèche
2020-03-18,26.4,23.4,1011.1,23.5,0.0,3,2020,Saison sèche
2020-03-19,27.1,31.5,1014.1,18.1,0.0,3,2020,Saison sèche
2020-03-20,26.7,22.5,1012.1,17.3,0.0,3,2020,Saison sèche
2020-03-21,25.2,29.8,1009.9,28.5,0.0,3,2020,Saison sèche
2020-03-22,22.5,15.3,1013.8,22.0,0.0,3,2020,Saison sèche
2020-03-23,26.6,30.0,1011.5,13.5,0.0,3,2020,Saison sèche
2020-03-24,25.2,19.6,1013.5,17.3,0.0,3,2020,Saison sèche
2020-03-25,22.9,22.4,1012.3,15.2,0.0,3,2020,Saison sèche
2020-03-26,22.9,26.9,1012.0,15.5,0.0,3,2020,Saison sèche
2020-03-27,23.8,26.9,1008.6,11.0,0.0,3,2020,Saison sèche
2020-03-28,23.2,23.3,1012.1,25.4,0.0,3,2020,Saison sèche
2020-03-29,27.1,23.7,1011.5,13.0,0.0,3,2020,Saison sèche
2020-03-30,25.0,22.7,1012.1,13.9,0.0,3,2020,Saison sèche
2020-03-31,26.3,37.3,1011.3,20.0,0.0,3,2020,Saison sèche
2020-04-01,29.7,41.8,1010.4,18.1,0.0,4,2020,Saison sèche
2020-04-02,28.1,49.0,1012.9,22.8,0.0,4,2020,Saison sèche
2020-04-03,30.2,46.5,1014.4,14.0,0.0,4,2020,Saison sèche
2020-04-04,22.7,40.8,1008.5,18.8,9.8,4,2020,Saison sèche
2020-04-05,28.9,60.0,1011.9,15.1,0.0,4,2020,Saison sèche
2020-04-06,24.7,59.7,1012.4,15.7,0.0,4,2020,Saison sèche
2020-04-07,23.7,55.8,1009.8,24.2,0.0,4,2020,Saison sèche
2020-04-08,28.0,45.4,1009.1,21.1,0.0,4,2020,Saison sèche
2020-04-09,28.3,49.1,1011.4,12.4,0.0,4,2020,Saison sèche
2020-04-10,28.8,39.0,1013.1,18.6,0.0,4,2020,Saison sèche
2020-04-11,33.2,59.0,1009.5,22.9,0.0,4,2020,Saison sèche
2020-04-12,29.6,55.9,1008.1,21.4,0.0,4,2020,Saison sèche
2020-04-13,30.6,30.9,1007.6,7.8,0.0,4,2020,Saison sèche
2020-04-14,31.8,45.6,1013.3,11.1,0.0,4,2020,Saison sèche
2020-04-15,23.7,44.6,1010.8,17.8,0.0,4,2020,Saison sèche
2020-04-16,24.7,50.4,1010.7,13.3,0.0,4,2020,Saison sèche
2020-04-17,27.8,52.6,1008.0,20.5,0.0,4,2020,Saison sèche
2020-04-18,26.7,38.7,1009.8,12.8,0.0,4,2020,Saison sèche
2020-04-19,32.9,45.3,1008.6,19.1,0.0,4,2020,Saison sèche
2020-04-20,27.7,43.2,1011.2,21.8,0.0,4,2020,Saison sèche
2020-04-21,27.3,26.6,1007.0,24.8,0.0,4,2020,Saison sèche
2020-04-22,29.4,47.5,1016.2,23.6,0.0,4,2020,Saison sèche
2020-04-23,24.0,46.6,1008.5,10.9,0.0,4,2020,Saison sèche
2020-04-24,26.4,36.3,1013.4,22.4,0.0,4,2020,Saison sèche
2020-04-25,28.2,38.1,1013.0,20.7,0.0,4,2020,Saison sèche
2020-04-26,25.8,33.9,1011.9,27.5,4.2,4,2020,Saison sèche
2020-04-27,24.5,49.5,1008.7,15.6,0.0,4,2020,Saison sèche
2020-04-28,28.1,38.4,1010.5,17.7,0.0,4,2020,Saison sèche
2020-04-29,26.6,51.0,1011.0,13.1,0.0,4,2020,Saison sèche
2020-04-30,23.8,49.3,1008.7,20.9,0.0,4,2020,Saison sèche
2020-05-01,26.9,60.4,1009.0,7.5,0.0,5,2020,Saison humide
2020-05-02,30.8,50.3,1007.2,12.2,0.0,5,2020,Saison humide
2020-05-03,33.5,55.4,1010.2,6.4,0.0,5,2020,Saison humide
2020-05-04,24.8,53.6,1009.7,11.0,25.1,5,2020,Saison humide
2020-05-05,31.9,55.2,1008.7,11.2,17.7,5,2020,Saison humide
2020-05-06,31.8,56.7,1007.5,9.8,5.8,5,2020,Saison humide
2020-05-07,31.7,76.6,1010.2,10.4,12.4,5,2020,Saison humide
2020-05-08,25.9,51.9,1004.8,10.2,0.0,5,2020,Saison humide
2020-05-09,31.8,58.2,1010.2,0.9,27.3,5,2020,Saison humide
2020-05-10,27.3,69.2,1009.2,9.9,0.0,5,2020,Saison humide
2020-05-11,31.5,62.0,1007.6,7.8,8.2,5,2020,Saison humide
2020-05-12,31.2,56.2,1009.5,13.7,10.9,5,2020,Saison humide
2020-05-13,30.3,52.2,1007.6,13.9,7.6,5,2020,Saison humide
2020-05-14,33.2,70.8,1009.3,21.4,0.0,5,2020,Saison humide
2020-05-15,26.6,72.0,1009.8,11.7,0.0,5,2020,Saison humide
2020-05-16,37.1,61.0,1008.7,15.6,21.2,5,2020,Saison humide
2020-05-17,29.0,63.8,1012.3,18.7,13.3,5,2020,Saison humide
2020-05-18,28.5,59.0,1008.6,17.5,0.0,5,2020,Saison humide
2020-05-19,30.6,56.6,1006.5,3.7,16.6,5,2020,Saison humide
2020-05-20,27.8,49.6,1007.8,20.3,0.0,5,2020,Saison humide
2020-05-21,30.4,57.8,1003.1,11.7,0.0,5,2020,Saison humide
2020-05-22,35.6,69.0,1008.0,6.5,3.5,5,2020,Saison humide
2020-05-23,37.4,60.5,1008.5,11.9,7.1,5,2020,Saison humide
2020-05-24,29.6,55.6,1008.4,9.3,0.0,5,2020,Saison humide
2020-05-25,30.4,72.0,1003.2,17.5,0.0,5,2020,Saison humide
2020-05-26,30.1,57.0,1005.7,8.1,0.0,5,2020,Saison humide
2020-05-27,33.3,70.2,1009.9,6.4,0.0,5,2020,Saison humide
2020-05-28,29.7,63.9,1006.1,15.6,0.0,5,2020,Saison humide
2020-05-29,32.8,63.6,1007.8,17.8,0.0,5,2020,Saison humide
2020-05-30,32.5,57.5,1009.2,5.7,13.2,5,2020,Saison humide
2020-05-31,29.7,68.4,1007.1,5.0,0.0,5,2020,Saison humide
2020-06-01,30.0,92.0,1003.2,20.5,21.2,6,2020,Saison humide
2020-06-02,31.8,81.2,1007.3,17.5,54.2,6,2020,Saison humide
2020-06-03,32.3,77.5,1008.0,3.4,0.0,6,2020,Saison humide
2020-06-04,33.6,76.5,1007.4,13.7,0.0,6,2020,Saison humide
2020-06-05,33.7,70.2,1008.2,3.5,40.8,6,2020,Saison humide
2020-06-06,33.8,85.9,1010.7,17.1,14.6,6,2020,Saison humide
2020-06-07,28.6,67.8,1006.2,12.1,14.1,6,2020,Saison humide
2020-06-08,33.7,72.0,1006.2,5.0,20.9,6,2020,Saison humide
2020-06-09,30.8,86.4,1005.5,25.2,41.5,6,2020,Saison humide
2020-06-10,31.1,83.6,1006.3,12.6,32.3,6,2020,Saison humide
2020-06-11,36.1,72.4,1007.3,20.9,42.9,6,2020,Saison humide
2020-06-12,35.0,73.5,1008.7,16.9,20.0,6,2020,Saison humide
2020-06-13,31.4,76.0,1007.3,15.1,15.2,6,2020,Saison humide
2020-06-14,34.1,82.9,1008.5,17.4,43.1,6,2020,Saison humide
2020-06-15,33.0,64.7,1008.3,13.0,14.9,6,2020,Saison humide
2020-06-16,30.5,86.4,1007.3,15.4,52.4,6,2020,Saison humide
2020-06-17,35.5,73.9,1007.6,9.7,0.0,6,2020,Saison humide
2020-06-18,33.8,74.2,1009.9,7.5,0.0,6,2020,Saison humide
2020-06-19,36.8,79.6,1009.5,4.6,53.7,6,2020,Saison humide
2020-06-20,33.4,86.5,1006.4,19.0,31.4,6,2020,Saison humide
2020-06-21,32.1,89.6,1010.6,9.4,0.0,6,2020,Saison humide
2020-06-22,29.8,70.7,1005.4,8.2,0.0,6,2020,Saison humide
2020-06-23,33.1,79.9,1010.5,7.0,17.0,6,2020,Saison humide
2020-06-24,35.7,76.3,1007.3,15.4,0.0,6,2020,Saison humide
2020-06-25,33.6,81.9,1008.0,24.3,0.0,6,2020,Saison humide
2020-06-26,31.6,73.6,1006.1,17.9,8.2,6,2020,Saison humide
2020-06-27,36.7,73.4,1005.7,14.4,0.0,6,2020,Saison humide
2020-06-28,33.7,65.9,1010.5,21.0,10.0,6,2020,Saison humide
2020-06-29,31.7,74.9,1008.0,13.7,41.0,6,2020,Saison humide
2020-06-30,32.8,71.6,1004.6,8.3,44.8,6,2020,Saison humide
2020-07-01,32.7,79.8,1007.0,17.9,31.4,7,2020,Saison humide
2020-07-02,32.8,86.4,1008.4,21.2,19.7,7,2020,Saison humide
2020-07-03,35.5,86.9,1008.6,14.5,43.4,7,2020,Saison humide
2020-07-04,37.5,83.2,1006.7,12.7,23.4,7,2020,Saison humide
2020-07-05,34.9,74.9,1007.1,18.4,0.0,7,2020,Saison humide
2020-07-06,34.5,78.4,1004.3,15.7,39.9,7,2020,Saison humide
2020-07-07,33.2,79.8,1007.5,19.9,0.0,7,2020,Saison humide
2020-07-08,35.5,79.5,1006.1,13.0,21.6,7,2020,Saison humide
2020-07-09,34.3,72.4,1009.4,4.4,7.5,7,2020,Saison humide
2020-07-10,32.6,81.0,1010.1,11.7,42.6,7,2020,Saison humide
2020-07-11,30.4,60.4,1007.9,9.5,0.0,7,2020,Saison humide
2020-07-12,34.6,73.5,1004.4,16.4,0.0,7,2020,Saison humide
2020-07-13,35.6,77.2,1010.7,6.6,0.0,7,2020,Saison humide
2020-07-14,33.9,79.9,1006.5,13.8,0.0,7,2020,Saison humide
2020-07-15,30.9,89.6,1006.8,17.6,0.0,7,2020,Saison humide
2020-07-16,34.9,81.7,1008.1,14.2,46.9,7,2020,Saison humide
2020-07-17,34.5,83.7,1006.8,19.2,0.0,7,2020,Saison humide
2020-07-18,32.3,92.4,1006.9,4.8,8.5,7,2020,Saison humide
2020-07-19,36.1,72.8,1006.1,2.6,0.0,7,2020,Saison humide
2020-07-20,32.9,58.6,1003.8,15.8,43.2,7,2020,Saison humide
2020-07-21,31.6,77.6,1007.0,6.2,39.0,7,2020,Saison humide
2020-07-22,33.4,78.2,1007.4,1.8,9.8,7,2020,Saison humide
2020-07-23,31.5,75.8,1010.6,15.2,0.0,7,2020,Saison humide
2020-07-24,37.5,85.4,1007.1,8.8,44.0,7,2020,Saison humide
2020-07-25,36.2,83.1,1009.1,9.3,9.4,7,2020,Saison humide
2020-07-26,37.3,79.6,1011.2,8.6,34.0,7,2020,Saison humide
2020-07-27,32.4,74.1,1006.4,14.1,0.0,7,2020,Saison humide
2020-07-28,35.3,73.4,1007.0,22.7,35.5,7,2020,Saison humide
2020-07-29,34.1,79.0,1008.2,6.9,0.0,7,2020,Saison humide
2020-07-30,33.4,64.7,1007.8,15.2,45.8,7,2020,Saison humide
2020-07-31,30.9,66.3,1007.4,17.2,29.1,7,2020,Saison humide
2020-08-01,35.9,77.7,1007.1,16.4,20.2,8,2020,Saison humide
2020-08-02,36.9,89.0,1006.2,14.0,44.4,8,2020,Saison humide
2020-08-03,31.8,72.6,1007.4,17.9,18.6,8,2020,Saison humide
2020-08-04,35.1,55.2,1009.7,3.3,14.0,8,2020,Saison humide
2020-08-05,30.0,87.3,1006.5,13.7,58.3,8,2020,Saison humide
2020-08-06,33.4,67.7,1009.4,9.5,0.0,8,2020,Saison humide
2020-08-07,36.9,84.8,1006.7,10.3,7.0,8,2020,Saison humide
2020-08-08,32.4,94.6,1008.2,14.2,37.2,8,2020,Saison humide
2020-08-09,32.5,76.4,1007.3,11.8,34.2,8,2020,Saison humide
2020-08-10,35.0,77.4,1007.6,2.0,0.0,8,2020,Saison humide
2020-08-11,35.5,80.8,1009.4,0.0,31.9,8,2020,Saison humide
2020-08-12,36.0,69.7,1008.6,6.7,0.0,8,2020,Saison humide
2020-08-13,31.6,93.3,1007.0,13.1,43.1,8,2020,Saison humide
2020-08-14,33.6,80.9,1012.2,11.7,52.8,8,2020,Saison humide
2020-08-15,36.0,87.5,1008.7,6.3,26.7,8,2020,Saison humide
2020-08-16,34.0,72.0,1007.3,13.6,52.9,8,2020,Saison humide
2020-08-17,37.2,81.6,1006.9,16.8,23.0,8,2020,Saison humide
2020-08-18,34.7,83.6,1006.8,18.9,0.0,8,2020,Saison humide
2020-08-19,32.8,78.1,1005.2,4.8,26.8,8,2020,Saison humide
2020-08-20,30.7,60.8,1006.1,5.4,0.0,8,2020,Saison humide
2020-08-21,37.3,86.1,1006.0,23.3,25.9,8,2020,Saison humide
2020-08-22,26.9,96.3,1004.6,3.8,36.9,8,2020,Saison humide
2020-08-23,36.7,82.5,1008.6,16.3,0.0,8,2020,Saison humide
2020-08-24,35.1,80.2,1007.6,11.7,8.3,8,2020,Saison humide
2020-08-25,31.3,75.8,1004.0,11.5,0.0,8,2020,Saison humide
2020-08-26,33.6,89.1,1009.2,4.1,0.0,8,2020,Saison humide
2020-08-27,30.7,76.2,1008.5,7.2,15.0,8,2020,Saison humide
2020-08-28,31.7,80.6,1004.2,14.2,58.0,8,2020,Saison humide
2020-08-29,33.8,88.9,1007.7,9.9,57.3,8,2020,Saison humide
2020-08-30,33.3,78.3,1006.0,8.7,38.6,8,2020,Saison humide
2020-08-31,30.1,72.5,1006.0,16.5,50.2,8,2020,Saison humide
2020-09-01,29.3,62.2,1006.8,22.7,0.0,9,2020,Saison humide
2020-09-02,32.6,63.3,1008.1,11.4,1.7,9,2020,Saison humide
2020-09-03,33.4,77.7,1007.4,5.2,0.0,9,2020,Saison humide
2020-09-04,29.0,73.1,1011.9,9.2,21.1,9,2020,Saison humide
2020-09-05,32.4,73.0,1007.7,11.0,3.5,9,2020,Saison humide
2020-09-06,29.5,51.9,1007.2,5.9,0.0,9,2020,Saison humide
2020-09-07,31.6,47.6,1009.2,16.2,0.0,9,2020,Saison humide
2020-09-08,34.1,50.3,1011.8,14.1,0.0,9,2020,Saison humide
2020-09-09,32.4,60.6,1009.6,7.4,0.0,9,2020,Saison humide
2020-09-10,30.7,52.8,1007.0,18.2,20.3,9,2020,Saison humide
2020-09-11,28.3,57.5,1010.9,12.7,16.1,9,2020,Saison humide
2020-09-12,31.5,57.5,1008.8,11.2,23.7,9,2020,Saison humide
2020-09-13,29.0,49.4,1004.8,14.5,0.0,9,2020,Saison humide
2020-09-14,32.0,79.9,1008.5,16.2,29.8,9,2020,Saison humide
2020-09-15,31.2,59.2,1010.3,10.5,26.2,9,2020,Saison humide
2020-09-16,29.3,67.9,1008.2,8.2,6.0,9,2020,Saison humide
2020-09-17,31.1,59.9,1010.7,14.4,4.8,9,2020,Saison humide
2020-09-18,30.9,66.5,1011.3,14.8,0.0,9,2020,Saison humide
2020-09-19,28.3,57.6,1007.3,11.1,0.0,9,2020,Saison humide
2020-09-20,31.1,64.2,1008.4,14.4,0.0,9,2020,Saison humide
2020-09-21,28.7,58.8,1006.1,15.0,19.0,9,2020,Saison humide
2020-09-22,30.5,71.9,1008.8,10.3,0.0,9,2020,Saison humide
2020-09-23,29.5,57.6,1007.7,12.9,15.8,9,2020,Saison humide
2020-09-24,32.1,69.5,1010.4,4.6,0.0,9,2020,Saison humide
2020-09-25,27.6,58.2,1006.2,3.0,25.0,9,2020,Saison humide
2020-09-26,29.6,39.3,1007.4,14.0,0.0,9,2020,Saison humide
2020-09-27,31.0,64.6,1008.7,7.1,14.2,9,2020,Saison humide
2020-09-28,30.9,52.5,1007.6,7.6,0.0,9,2020,Saison humide
2020-09-29,27.6,47.1,1011.4,11.0,26.9,9,2020,Saison humide
2020-09-30,29.3,68.3,1007.3,21.1,8.4,9,2020,Saison humide
2020-10-01,33.4,40.2,1011.5,13.5,19.5,10,2020,Saison humide
2020-10-02,28.1,39.0,1010.9,8.6,15.9,10,2020,Saison humide
2020-10-03,27.1,46.5,1007.3,7.1,11.1,10,2020,Saison humide
2020-10-04,25.4,49.3,1012.4,15.6,0.0,10,2020,Saison humide
2020-10-05,30.5,38.9,1007.2,19.5,0.0,10,2020,Saison humide
2020-10-06,31.3,49.4,1010.9,22.8,2.2,10,2020,Saison humide
2020-10-07,26.4,52.4,1010.1,13.3,17.9,10,2020,Saison humide
2020-10-08,29.3,53.6,1009.3,7.8,0.0,10,2020,Saison humide
2020-10-09,25.4,29.3,1014.1,6.5,0.0,10,2020,Saison humide
2020-10-10,27.4,42.8,1010.6,16.1,9.3,10,2020,Saison humide
2020-10-11,27.6,47.3,1009.5,20.0,25.4,10,2020,Saison humide
2020-10-12,29.7,54.4,1010.4,5.5,29.6,10,2020,Saison humide
2020-10-13,29.0,39.8,1008.9,14.9,15.7,10,2020,Saison humide
2020-10-14,28.8,58.6,1010.5,25.0,0.0,10,2020,Saison humide
2020-10-15,29.9,48.0,1012.6,15.4,0.0,10,2020,Saison humide
2020-10-16,27.5,38.2,1008.8,14.9,17.1,10,2020,Saison humide
2020-10-17,25.0,48.6,1012.4,9.0,0.0,10,2020,Saison humide
2020-10-18,26.0,50.2,1009.8,14.1,0.0,10,2020,Saison humide
2020-10-19,29.8,42.0,1013.5,10.0,0.0,10,2020,Saison humide
2020-10-20,24.5,30.9,1006.9,18.3,0.0,10,2020,Saison humide
2020-10-21,26.6,65.5,1008.9,12.9,0.0,10,2020,Saison humide
2020-10-22,33.2,54.7,1012.0,15.0,8.8,10,2020,Saison humide
2020-10-23,26.0,45.0,1009.7,9.7,23.8,10,2020,Saison humide
2020-10-24,28.2,56.8,1007.7,11.0,0.0,10,2020,Saison humide
2020-10-25,27.8,44.0,1013.0,15.2,30.0,10,2020,Saison humide
2020-10-26,25.4,59.8,1012.4,14.9,0.0,10,2020,Saison humide
2020-10-27,27.1,53.7,1013.8,19.7,0.0,10,2020,Saison humide
2020-10-28,28.4,30.9,1010.6,11.3,0.0,10,2020,Saison humide
2020-10-29,29.3,40.7,1007.7,0.0,0.0,10,2020,Saison humide
2020-10-30,27.9,59.2,1013.3,9.7,0.0,10,2020,Saison humide
2020-10-31,25.5,47.4,1011.5,18.1,0.0,10,2020,Saison humide
2020-11-01,24.7,23.4,1009.7,17.9,0.0,11,2020,Saison sèche
2020-11-02,27.3,18.6,1014.5,20.6,0.0,11,2020,Saison sèche
2020-11-03,18.9,32.1,1013.0,20.6,0.0,11,2020,Saison sèche
2020-11-04,25.2,29.1,1008.4,19.4,7.6,11,2020,Saison sèche
2020-11-05,27.0,15.0,1012.1,15.2,5.2,11,2020,Saison sèche
2020-11-06,21.0,34.3,1010.0,17.9,0.0,11,2020,Saison sèche
2020-11-07,22.5,25.5,1012.4,25.5,0.0,11,2020,Saison sèche
2020-11-08,22.9,25.7,1009.4,7.4,0.0,11,2020,Saison sèche
2020-11-09,26.1,32.2,1006.8,17.0,0.0,11,2020,Saison sèche
2020-11-10,25.1,19.2,1011.1,28.9,0.0,11,2020,Saison sèche
2020-11-11,23.4,18.6,1010.5,17.2,0.0,11,2020,Saison sèche
2020-11-12,25.8,23.0,1010.9,14.2,0.0,11,2020,Saison sèche
2020-11-13,27.2,24.4,1011.1,38.0,0.0,11,2020,Saison sèche
2020-11-14,23.9,34.2,1011.7,14.8,0.0,11,2020,Saison sèche
2020-11-15,29.7,33.6,1010.6,28.4,0.0,11,2020,Saison sèche
2020-11-16,26.2,18.2,1010.2,27.1,0.0,11,2020,Saison sèche
2020-11-17,24.2,21.8,1009.6,24.1,0.0,11,2020,Saison sèche
2020-11-18,25.1,36.3,1011.3,24.3,0.0,11,2020,Saison sèche
2020-11-19,22.3,28.4,1011.1,26.9,0.0,11,2020,Saison sèche
2020-11-20,28.0,45.7,1012.7,23.6,0.0,11,2020,Saison sèche
2020-11-21,25.8,22.6,1011.8,28.6,0.0,11,2020,Saison sèche
2020-11-22,28.3,24.1,1007.3,19.0,0.0,11,2020,Saison sèche
2020-11-23,22.5,21.0,1013.2,24.7,0.0,11,2020,Saison sèche
2020-11-24,24.0,17.6,1014.7,20.4,0.0,11,2020,Saison sèche
2020-11-25,27.5,21.5,1012.3,21.9,0.0,11,2020,Saison sèche
2020-11-26,22.1,34.5,1010.6,23.0,0.0,11,2020,Saison sèche
2020-11-27,26.5,21.2,1013.2,15.3,0.0,11,2020,Saison sèche
2020-11-28,22.5,19.6,1012.5,22.9,0.0,11,2020,Saison sèche
2020-11-29,26.6,33.9,1012.3,20.8,0.0,11,2020,Saison sèche
2020-11-30,24.7,17.2,1013.7,21.4,0.0,11,2020,Saison sèche
2020-12-01,21.5,24.3,1013.3,23.0,0.0,12,2020,Saison sèche
2020-12-02,24.6,21.5,1013.6,20.7,0.0,12,2020,Saison sèche
2020-12-03,24.7,29.9,1010.7,27.4,0.0,12,2020,Saison sèche
2020-12-04,21.5,31.5,1013.3,31.2,0.0,12,2020,Saison sèche
2020-12-05,22.2,22.2,1012.6,20.5,0.0,12,2020,Saison sèche
2020-12-06,24.8,12.1,1010.5,16.7,0.0,12,2020,Saison sèche
2020-12-07,25.2,38.7,1012.4,21.2,0.0,12,2020,Saison sèche
2020-12-08,23.0,34.3,1010.7,23.2,0.0,12,2020,Saison sèche
2020-12-09,25.2,29.0,1013.0,27.0,0.0,12,2020,Saison sèche
2020-12-10,16.0,30.4,1011.3,12.8,0.0,12,2020,Saison sèche
2020-12-11,24.1,36.0,1012.3,26.8,0.0,12,2020,Saison sèche
2020-12-12,26.8,35.5,1015.9,25.7,0.0,12,2020,Saison sèche
2020-12-13,23.0,12.2,1012.1,17.8,0.0,12,2020,Saison sèche
2020-12-14,28.2,23.6,1012.8,24.8,0.0,12,2020,Saison sèche
2020-12-15,22.9,38.6,1011.4,23.0,0.0,12,2020,Saison sèche
2020-12-16,20.9,14.4,1011.4,21.8,0.0,12,2020,Saison sèche
2020-12-17,21.7,19.5,1009.8,21.6,0.0,12,2020,Saison sèche
2020-12-18,19.0,31.1,1012.8,14.7,0.0,12,2020,Saison sèche
